timestamp,No_,Name,Search Name,Name 2,Address,Address 2,City,Phone No_,Telex No_,Territory Code,Currency Code,Language Code,Salesperson Code,Country_Region Code,Last Date Modified,Fax No_,Telex Answer Back,VAT Registration No_,Picture,Post Code,County,E-Mail,Home Page,No_ Series,Image,Privacy Blocked,Minor,Parental Consent Received,Type,Company No_,Company Name,Lookup Contact No_,First Name,Middle Name,Surname,Job Title,Initials,Extension No_,Mobile Phone No_,Pager,Organizational Level Code,Exclude from Segment,External ID,Correspondence Type,Salutation Code,Search E-Mail,Last Time Modified,E-Mail 2,Xrm Id,Updated For GEWA On,PUK-Code,Section,Category,Do Not Replicate On IDS,WSO2 UUID,Code FMH Titel,Funktionsgruppe PX,Funktion PX,FMH Titel,Eröffnet am,Eröffnet um,Eröffnet von,Geändert von,Löschen,Briefanrede,Telefon direkt,Telefon Privat,Set Adressaufbereitung,Personentyp,Nur Kontaktperson aufbereiten,Date of Birth,Last Maintenance Batch No_,Post Code Id,Aufbereitete Namenzeile,Street Id,Street No_,Switch Address Fields,Street Name,Gültige Adresse,Zweitname,Zweitvorname,Status,Salutation Code 2,Briefanrede 2,Geschlecht,Sync Homepage to Hut,Singular Salutation Text,Vereinsmitgliederjahre,Sektionsinfo 1 Bemerkung,Sektionsinfo 1 Datum,Sektionsinfo 2 Bemerkung,Sektionsinfo 2 Datum,Sektionsinfo 3 Bemerkung,Sektionsinfo 3 Datum,Sektionsinfo 4 Bemerkung,Sektionsinfo 4 Datum,Sektionsinfo 5 Bemerkung,Sektionsinfo 5 Datum,Geschäftsstelle Bemerkung,Geschäftsstelle Bemerkung Datum,Familien-Nr.,Familie aktiv
0x0000000040D5371E,125099,Weber Maximilian,WEBER MAXIMILIAN,,Bachstrasse 22,,Boltigen,,,,,DES,,,2008-08-23 00:00:00.000,,,,NULL,3766,BE,,,,00000000-0000-0000-0000-000000000000,0,0,0,0,125099,Weber Maximilian,,Maximilian,,Weber,,,,,,,0,,0,HERR,,1753-01-01 00:00:00.000,,00000000-0000-0000-0000-000000000000,1753-01-01 00:00:00.000,,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 17:52:17.767,DDYNAMIC\REINHARDT_S,,0,Sehr geehrter Herr Weber,,,STD,1,0,1988-01-01 00:00:00.000,,0,,0,,0,,1,,,,,,0,0,Herr,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0x0000000045D5FD86,125100,Maurer Johannes,MAURER JOHANNES,,Im Bächli 1,,Bassersdorf,0041 -,,,,DES,,,2021-12-02 00:00:00.000,,,,NULL,8303,ZH,,,,00000000-0000-0000-0000-000000000000,0,0,0,0,125100,Maurer Johannes,,Johannes,,Maurer,,,,,,,0,,0,HERR,,1754-01-01 08:01:20.000,,00000000-0000-0000-0000-000000000000,2021-12-02 00:00:00.000,zypXm232323,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 17:54:33.587,DDYNAMIC\REINHARDT_S,,0,Sehr geehrter Herr Maurer,,,STD,1,0,1936-09-10 00:00:00.000,PF00941,0,,0,1,0,Im Staldern,1,,,,,,0,0,Herr,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0x0000000040D78C3F,125101,Potter Harry,POTTER HARRY,,,,,079 999 99 99,,,,DES,,,2014-04-22 00:00:00.000,031 999 99 99,,,NULL,,,harry.potter@example.com,www.example.com,ADS,00000000-0000-0000-0000-000000000000,0,0,0,0,125101,Potter Harry,,Harry,,Potter,,,,079 299 85 28,,,0,,0,HERR,HARRY.POTTER@EXAMPLE.COM,1754-01-01 09:50:11.000,,00000000-0000-0000-0000-000000000000,1753-01-01 00:00:00.000,,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 19:33:11.540,DDYNAMIC\REINHARDT_S,,0,Sehr geehrter Herr Potter,031 999 99 99,,STD,1,0,1753-01-01 00:00:00.000,,0,,0,,0,,1,,,,,,0,0,Herr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0x0000000040D5C001,125102,Cochet Frederique,COCHET FREDERIQUE,,route de chemin 21,,Fribourg,,,,,FRS,,,2008-08-23 00:00:00.000,,,,NULL,1700,FR,,,,00000000-0000-0000-0000-000000000000,0,0,0,0,125102,Cochet Frederique,,Frederique,,Cochet,,,,,,,0,,0,FRAU,,1753-01-01 00:00:00.000,,00000000-0000-0000-0000-000000000000,1753-01-01 00:00:00.000,,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 18:06:22.150,DDYNAMIC\REINHARDT_S,,0,"Chère Madame Cochet,",,,STD,1,0,1981-01-01 00:00:00.000,,0,,0,,0,,1,,,,,,1,0,Madame,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0x0000000040D5B008,125103,Alder John,ALDER JOHN,,Rüti 95,,Grub AR,,,,,DES,,,2008-08-23 00:00:00.000,,,,NULL,9035,AR,,,,00000000-0000-0000-0000-000000000000,0,0,0,0,125103,Alder John,,John,,Alder,,,,,,,0,,0,HERR,,1753-01-01 00:00:00.000,,00000000-0000-0000-0000-000000000000,1753-01-01 00:00:00.000,,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 18:04:30.913,DDYNAMIC\REINHARDT_S,,0,Sehr geehrter Herr Alder,,,STD,1,0,1946-01-01 00:00:00.000,,0,,0,,0,,1,,,,,,0,0,Herr,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F50235,0
0x0000000040D51C68,125104,Muster Hans,MUSTER HANS,Frohburg / Zimmer 119,Frohburgstrasse 19,,Zürich,,,,,DES,,,2021-09-01 00:00:00.000,,,,NULL,8050,ZH,,,,00000000-0000-0000-0000-000000000000,0,0,0,0,125104,Muster Hans,,Hans,,Muster,,,,,,,0,,0,HERR,,1754-01-01 10:45:21.000,,00000000-0000-0000-0000-000000000000,2021-09-01 00:00:00.000,zypXm232323,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 17:49:58.730,DDYNAMIC\REINHARDT_S,,1,Sehr geehrter Herr Muster,,,STD,1,0,1933-10-09 00:00:00.000,,0,,0,,0,,1,,,,,,0,0,Herr,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0x0000000040D5472F,125105,Buri Max,BURI MAX,,Sägestrasse 10,,Langnau i. E.,,,,,DES,,,2008-08-23 00:00:00.000,,,,NULL,3550,BE,,,,00000000-0000-0000-0000-000000000000,0,0,0,0,125105,Buri Max,,Max,,Buri,,,,,,,0,,0,HERR,,1753-01-01 00:00:00.000,,00000000-0000-0000-0000-000000000000,1753-01-01 00:00:00.000,,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 17:53:44.337,DDYNAMIC\REINHARDT_S,,0,Sehr geehrter Herr Buri,,,STD,1,0,1966-10-02 00:00:00.000,,0,,0,,0,,1,,,,,,0,0,Herr,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0x000000003799954D,125106,Ski- und Hotel AG Splügen,SKI- UND HOTEL AG Splügen,c/o Max Frisch,Kantonsstrasse 11c,,Visp,027 999 99 99,,,,DES,,,2016-07-06 00:00:00.000,027 999 99 99,,,NULL,3930,VS,bestie@example.com,www.example.com,ADS,00000000-0000-0000-0000-000000000000,0,0,0,0,125106,Ski- und Hotel AG Splügen,,Splügen,,Ski- und Hotel AG,,,,,,,0,,0,FIRMA,BESTIE@EXAMPLE.COM,1754-01-01 15:24:42.000,,00000000-0000-0000-0000-000000000000,1753-01-01 00:00:00.000,,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 19:09:26.113,DDYNAMIC\REINHARDT_S,,0,Sehr geehrte Damen und Herren,,,STD,2,0,1753-01-01 00:00:00.000,,0,,0,,0,,1,,,,,,2,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0x0000000040D64928,125107,Bühler Christian,BÜHLER CHRISTIAN,,Untergasse 7,,Hasle-Rüegsau,41,,,,DES,,,2008-08-23 00:00:00.000,,,,NULL,3415,BE,,,,00000000-0000-0000-0000-000000000000,0,0,0,0,125107,Bühler Christian,,Christian,,Bühler,,,,,,,0,,0,HERR,,1753-01-01 00:00:00.000,,00000000-0000-0000-0000-000000000000,1753-01-01 00:00:00.000,,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 18:24:56.300,DDYNAMIC\REINHARDT_S,,0,Sehr geehrter Herr Bühler,,,STD,1,0,1988-10-24 00:00:00.000,,0,,0,,0,,1,,,,,,0,0,Herr,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0x0000000040D749E0,125108,Gygax Scarlett,GYGAX SCARLETT,,Langestrasse 24,,Dotzigen,032 999 99 99,,,,DES,,,2019-05-22 00:00:00.000,,,,NULL,3293,BE,,,ADS,00000000-0000-0000-0000-000000000000,0,0,0,0,125108,Gygax Scarlett,,Scarlett,,Gygax,,,,,,,0,,0,FRAU,,1754-01-01 15:13:15.000,,00000000-0000-0000-0000-000000000000,2019-05-22 00:00:00.000,zypXm232323,,,0,,,,,,2021-12-26 00:00:00.000,1754-01-01 19:12:13.270,DDYNAMIC\REINHARDT_S,,0,Sehr geehrte Frau Gygax,,,STD,1,0,1999-01-11 00:00:00.000,,0,,0,,0,,1,,,,,,1,0,Frau,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
