No_,Vereinsmitgliederjahre,First Name,Surname,Adresszusatz,Postfach,Street Name,Street No_,Country_Region Code,City,Post Code,E-Mail,Phone No_,Date of Birth,Geschlecht,Language Code,Sektionsinfo 1 Bemerkung,Sektionsinfo 2 Bemerkung,Sektionsinfo 3 Bemerkung,Sektionsinfo 4 Bemerkung,Sektionsinfo 5 Bemerkung,Geschäftsstelle Bemerkung,Family No_,Social Media,Personentyp
125099,35,Maximilian,Weber,,,Bachstrasse 22,,,Boltigen,3766,,,1988-01-01 00:00:00.000,,DES,,,,,,,NULL,,1
125100,67,Johannes,Maurer,,,Im Bächli 1,,,Bassersdorf,8303,,0041 -,1936-09-10 00:00:00.000,,DES,,,,,,,NULL,,1
125101,NULL,Harry,Potter,,1337,,,,,,harry.potter@example.com,079 999 99 99,1753-01-01 00:00:00.000,,DES,,,,,,,NULL,www.example.com,1
125102,8,Frederique,Cochet,,,route de chemin 21,,,Fribourg,1700,,,1981-01-01 00:00:00.000,,FRS,,,,,,,NULL,,1
125103,18,John,Alder,,,Rüti 95,,,Grub AR,9035,,,1946-01-01 00:00:00.000,,DES,,,,,,,F50235,,1
125104,61,Hans,Muster,Frohburg / Zimmer 119,,Frohburgstrasse 19,,,Zürich,8050,,,1933-10-09 00:00:00.000,,DES,,,,,,Bezahlt die Rechnungen nicht!!,NULL,,1
125105,70,Max,Buri,,,Sägestrasse 10,,,Langnau i. E.,3550,,,1966-10-02 00:00:00.000,,DES,,,,,,,NULL,,1
125106,NULL,,Ski- und Hotel AG Splügen,c/o Max Frisch,,Kantonsstrasse 11c,,,Visp,3930,bestie@example.com,027 999 99 99,1753-01-01 00:00:00.000,,DES,,,,,,,NULL,www.example.com,2
125107,8,Christian,Bühler,,,Untergasse 7,,,Hasle-Rüegsau,3415,,41,1988-10-24 00:00:00.000,,DES,,,,,,,NULL,,1
125108,17,Scarlett,Gygax,,,Langestrasse 24,,,Dotzigen,3293,,032 999 99 99,1999-01-11 00:00:00.000,,DES,,,,,,,NULL,,1
125109,2,Gudrun,Johanson,,,Gurztiweg 29,,DE,Bretzenheim,55559,,49,1911-12-11 00:00:00.000,,DES,,,,,,,NULL,,1
