4200000,35,"Vorname 1","Nachname 1","Adresszusatz 1","Postfach 1","Adresse 1",,,Boltigen,3766,example@example.com,41779999999,1988/01/01,0,DES,,,,,,,,1,,,,,,,,,,
4200001,14,Johannes,Maurer,,,"Im Bächli 1",,,Bassersdorf,8303,foo.baz@bluewin.ch,-41,1936/09/10,0,DES,,,,,,,,1,,,,,,,,,,
4200002,NULL,Harry,Potter,,1337,,,,,,harry.potter@example.com,"079 999 99 99",1753/01/01,0,DES,,,,,,,www.example.com,1,,,,,,,,,,
4200003,8,Frederique,Cochet,,,"route de chemin 21",,,Fribourg,1700,foo-bar@gmx.digital,,1981/01/01,1,FRS,,,,,,,,1,,,,,,,,,,
4200004,18,John,Alder,,,"Rüti 95",,,"Grub AR",9035,,,1946/01/01,0,DES,,,,,,,,1,,,,,,,,,,
4200005,61,Hans,Muster,"Frohburg / Zimmer 119",,"Frohburgstrasse 19",,,Zürich,8050,foo.bar-baz@bluewin.ch,,1933/10/09,0,DES,,,,,,"Bezahlt die Rechnungen nicht!!",,1,,,,,,,,,,
4200006,70,Max,Buri,,,"Sägestrasse 10",,,"Langnau i. E.",3550,,,1966/10/02,0,DES,,,,,,,,1,,,,,,,,,,
4200007,NULL,,"Ski- und Hotel AG Splügen","c/o Max Frisch",,"Kantonsstrasse 11c",,,Visp,3930,bestie@example.com,"027 999 99 99",1753/01/01,,DES,,,,,,,www.example.com,2,,,,,,,,,,
4200008,8,Christian,Bühler,,,"Untergasse 7",,,Hasle-Rüegsau,3415,,41,1988/10/24,0,DES,,,,,,,,1,,,,,,,,,,
4200009,17,Scarlett,Gygax,,,"Langestrasse 24",,,Dotzigen,3293,,"032 999 99 99",1999/01/11,1,DES,,,,,,,,1,,,,,,,,,,
4200010,2,,,,,"Gurztiweg 29",,DE,Bretzenheim,55559,,49,1911/12/11,1,DES,,,,,,,,1,,,,,,,,,,
